OBJECTID,RAIN_ID,DATE,VILLAGE,MOO,TAMBON,DISTRICT,PROVINCE,REGION,UTM_E,UTM_N,ZONE,RAIN_24_HR,RAIN_3_DAY,WEATHER
7387,5334,5/9/2021 0:00,อีเลิศ,3,ศรีฐาน,ภูกระดึง,เลย,ภาคตะวันออกเฉียงเหนือ,800415,1876690,47,0,0,ท้องฟ้าโปร่ง ไม่มีฝนตก
7388,5337,6/9/2021 0:00,มอล่อง,25,แม่สลองใน,แม่ฟ้าหลวง,เชียงราย,ภาคเหนือ,566825,2234951,47,48,0,วัดปริมาณน้ำฝนได้ 48 มม.
7389,5336,6/9/2021 0:00,ยาง,12,แม่งอน,ฝาง,เชียงใหม่,ภาคเหนือ,509922,2189730,47,60,0,วัดปริมาณน้ำฝนได้ 60 มม.
7390,5339,6/9/2021 0:00,หัวนา,4,บ้านไร่,บ้านไร่,อุทัยธานี,ภาคเหนือ,556244,1666938,47,20,0,วัดปริมาณน้ำฝนได้ 20 มม
7391,5338,6/9/2021 0:00,ท่าเรือ,6,นางพญา,ท่าปลา,อุตรดิตถ์,ภาคเหนือ,648886,1985204,47,42,0,วัดปริมาณน้ำฝนได้ 42 มม
7392,14631,20/3/2022 0:00,ไร่วรรณ,6,ตะปอน,ขลุง,จันทบุรี,ภาคตะวันออก,844744,1384243,47,0,0, ท้องฟ้าโปร่ง อากาศร้อน
7393,14630,20/3/2022 0:00,บ่อเวฬุ,2,บ่อเวฬุ,ขลุง,จันทบุรี,ภาคตะวันออก,860529,1403636,47,0,0, ท้องฟ้าโปร่ง อากาศร้อน
7394,14637,21/3/2022 0:00,ศาลาคลอง,9,บ้านไร่,บ้านไร่,อุทัยธานี,ภาคเหนือ,550637,1667911,47,0,0,ท้องฟ้าครึ้ม มีฝนตกปรอยๆ
7395,14636,20/3/2022 0:00,ป่าเด็งใต้,6,ป่าเด็ง,แก่งกระจาน,เพชรบุรี,ภาคกลาง,558413,1396349,47,0,0,ท้องฟ้าแจ่มใส อากาศร้อน
7396,14635,20/3/2022 0:00,ทรัพย์สมบูรณ์,7,ทองมงคล,บางสะพาน,ประจวบคีรีขันธ์,ภาคกลาง,539960,1238095,47,0,0,ท้องฟ้าแจ่มใส อากาศร้อน
7397,14634,20/3/2022 0:00,ทุ่งแฝก,2,สวนผึ้ง,สวนผึ้ง,ราชบุรี,ภาคกลาง,532680,1496913,47,0,0,ท้องฟ้าแจ่มใส อากาศร้อน
7398,13049,12/2/2022 0:00,  นิคมผัง1,10,จ.ป.ร.,กระบุรี,ระนอง,ภาคใต้,485143,1180563,47,0,0,ท้องฟ้าครึ้ม ไม่มีฝนตก
7399,13048,12/2/2022 0:00, นิคมผัง2,2,จ.ป.ร.,กระบุรี,ระนอง,ภาคใต้,485143,1180563,47,0,0,ท้องฟ้าครึ้ม มีฝนตกปรอยๆ
7400,13041,12/2/2022 0:00,สบป่อง,1,สบป่อง,ปางมะผ้า,แม่ฮ่องสอน,ภาคเหนือ,421178,2158227,47,0,0,ท้องฟ้าโปร่ง อากาศเย็น
7401,13040,12/2/2022 0:00,ม่วงฆ้อง,3,เชียงดาว,เชียงดาว,เชียงใหม่,ภาคเหนือ,498605,2143805,47,0,0,ท้องฟ้าโปร่ง อากาศเย็น
7402,13043,12/2/2022 0:00,หาดพริก,6,วิสัยใต้,สวี,ชุมพร,ภาคใต้,502802,1146891,47,11,0,วัดปริมาณน้ำฝนได้ 11 มม.
7403,13042,12/2/2022 0:00,แสนสุข,7,พนม,พนม,สุราษฎร์ธานี,ภาคใต้,477054,976920,47,15,0,วัดปริมาณน้ำฝนได้ 15 มม.
7404,13045,12/2/2022 0:00,วัดนอก,8,วิสัยใต้,สวี,ชุมพร,ภาคใต้,510585,1140547,47,5,0,วัดปริมาณน้ำฝนได้ 5 มม.
7405,13044,12/2/2022 0:00,ปากพาย,2,น้ำหัก,คีรีรัฐนิคม,สุราษฎร์ธานี,ภาคใต้,494841,1010804,47,7,0,วัดปริมาณน้ำฝนได้ 7 มม.
7406,13047,12/2/2022 0:00,ท่าควาย,1,ฉลอง,สิชล,นครศรีธรรมราช,ภาคใต้,591653,987321,47,0,0,ท้องฟ้าครึ้ม มีฝนตกปรอยๆ
7407,13046,12/2/2022 0:00,ท่าลานทอง,4,คุริง,ท่าแซะ,ชุมพร,ภาคใต้,508854,1192000,47,0,0,ท้องฟ้าครึ้ม มีฝนตกปรอยๆ
7408,15076,30/3/2022 0:00,หนองไม้หอม,5,ช้างทูน,บ่อไร่,ตราด,ภาคตะวันออก,879719,1401953,47,0,0,ท้องฟ้าโปร่ง ไม่มีฝนตก
7409,15077,30/3/2022 0:00,ปากพลวง,2,พลวง,เขาคิชฌกูฏ ,จันทบุรี,ภาคตะวันออก,839790,1415693,47,0,0,ท้องฟ้าโปร่ง ไม่มีฝนตก
