OBJECTID,Event_ID,Geohaz_T,Geohaz_E,DATE,TIME,LATITUDE,LONGITUDE,UTM_E,UTM_N,ZONE,MAGNITUDE,DEPTH_KM,F_ZONE_T,F_ZONE_E,LOCATION,BAN,TAMBON,DISTRICT,PROVINCE,Geo_haz_T,Geo_haz_E,LS_Type_T,LS_Type_E,Effect
128,36,ดินถล่ม,Landslide,00:00.0,0:00:00,8.57469544,98.29282007,422180,947903,47,,,,,,ดอนจันทร์,ลำแก่น,ท้ายเหมือง,พังงา,หินแกรนิต,Granite,,,ดินถล่มทับบ้านเสียหาย 3 หลัง มีผู้เสียชีวิต 1 ราย สวนยางพาราเสียหายประมาณ 30 ไร่
230,67,แผ่นดินไหว,Earthquake,00:00.0,3:42:00,19.29,99.84,588258,2133130,47,3.7,,พะเยา,PHA YAO,,,แม่ปืม,เมือง,พะเยา,,,,,รู้สึกสั่นไหวที่ อำเภอแม่ใจ จังหวัดพะเยา
68,54,แผ่นดินไหว,Earthquake,00:00.0,13:18:00,19.4,94.36,642805,2145651,47,4.5,,แม่ลาว,MAE LAO,,,,เวียงป่าเป้า,เชียงราย,,,,,รู้สึกสั่นสะเทือนได้ที่ อำเภอเวียงป่าเป้า จังหวัดเชียงราย และ จังหวัดพะเยา
426,273,ดินถล่ม,Landslide,00:00.0,0:00:00,8.57922501,98.24249599,416643,948415,47N,,,,,,ลำรู,ลำแก่น,ท้ายเหมือง,พังงา,,,,,ดินไหลบริเวณไหล่เขาข้างถนนลงมาบนถนน ความยาวขนานตามแนวถนน 45 เมตร
326,520,ดินถล่ม,Landslide,00:00.0,0:00:00,16.28157661,98.98982941,498913,1800082,47N,,,,,,,โมโกร,อุ้มผาง,ตาก,,,,,ดินไหลส่งผลให้สามารถใช้เส้นทางสัญจรได้ 1 ช่องทาง
54,120,แผ่นดินไหว,Earthquake,00:00.0,4:39:00,14.856,99.17,518288,1642406,47,3.2,6,ศรีสวัสดิ์,SI SAWAT,,,เขาโจด,ศรีสวัสดิ์,กาญจนบุรี,,,,,ประชาชนในพื้นที่อำเภอหนองปรือ อำเภอเมือง จังหวัดกาญจนบุรี และอำเภอด่านช้าง จังหวัดสุพรรณบุรี สามารถรับรู้ถึงแรงสั่นสะเทือน
511,513,ดินถล่ม,Landslide,00:00.0,0:00:00,17.48184058,100.9907346,711386,1933963,47N,,,,,บริเวณทางหลวงหมายเลข 1268,,แสงภา,นาแห้ว,เลย,,,,,ดินไหลปิดทับ 1 ช่องทางจราจร ส่งผลให้เส้นทางสัญจรเหลือเพียง 1 ช่องทาง
302,318,ดินถล่ม,Landslide,00:00.0,0:00:00,8.43238233,99.78234911,586123,932185,47N,,,,,,คีรีวง,กำโลน,ลานสกา,นครศรีธรรมราช,,,,,ดินไหลกินเนื้อที่ประมาณ 1 ไร่ ระยะทางที่เกิดดินไหลลงมาประมาณ 100 เมตร
339,364,ดินถล่ม,Landslide,00:00.0,0:00:00,14.45293008,105.1962856,1168709,1606999,47N,,,,,,แก้งเรือง,นาจะหลวย,นาจะหลวย,อุบลราชธานี,,,,,ดินไหลและน้ำป่าไหลหลาก ทำให้บ้านเรือนได้รับความเสียหาย 10 หลัง
112,109,แผ่นดินไหว,Earthquake,00:00.0,5:12:00,19.724,99.574,560148,2181041,47,3,4,แม่ลาว,MAE LAO,,,,แม่สรวย,เชียงราย,,,,,รู้สึกสั่นไหวที่บริเวณ อำเภอแม่สรวย จังหวัดเชียงราย
349,531,ดินถล่ม,Landslide,00:00.0,0:00:00,14.31387873,101.8447941,806901,1584324,47N,,,,,,กม.80,บุพราหมณ์,นาดี,ปราจีนบุรี,,,,,ดินไหลส่งผลให้สามารถใช้เส้นทางสัญจรได้ 1 ช่องทาง
289,410,ดินถล่ม,Landslide,00:00.0,0:00:00,6.1143334,101.1854151,741865,676334,47N,,,,,,บูโล๊ะสะนีแย,บ้านแหร,ธารโต,ยะลา,,,,,ดินไหลเส้นทางหลวงสาย 410 (ยะลา-เบตง) ส่งผลให้ต้นไม้ล้มทับถนน
219,74,แผ่นดินไหว,Earthquake,00:00.0,5:32:00,7.89,98.52,447090,872168,47,3.8,,คลองมะรุ่ย,KHLONG MARUI,,,นอกชายฝั่งทางทิศตะวันออกของ จ.ภูเก็ต,,ภูเก็ต,,,,,"รู้สึกสั่นไหวที่ อำเภอเมือง อำเภอกะทู้ อำเภอถลาง จังหวัดภูเก็ต, เกาะยาวใหญ่ จังหวัดพังงา"
